Section	Question	Answer
STUDIES AT THE UNIVERSITY OF VALLADOLID	CAN I DO A STUDY EXCHANGE AT THE UNIVERSITY OF VALLADOLID?	You should find out whether there is an exchange agreement between our universities. To do this, you should contact  incoming@uva.es (mailto:incoming@uva.es) If there is no agreement between our universities, you can always come as a  Visiting student (http://relint.uva.es/internacional/english/students/visitors-programme/) .
STUDIES AT THE UNIVERSITY OF VALLADOLID	WHICH COURSES CAN I TAKE AT THE UNIVERSITY OF VALLADOLID?	You can choose the courses you like from any academic course or academic year. You can also even take courses from various curricula and from different faculties at the same time. However, you must make sure that your coordinating teacher accepts your choices when signing your studies contract or Learning Agreement.Whatever you opt to do, you should take at least one course from the University of Valladolid faculty you have chosen.
STUDIES AT THE UNIVERSITY OF VALLADOLID	CAN I CHOOSE COURSES FROM ANY TERM OR SEMESTER?	No, you can only choose courses taught during the time you are at our university.If you are here between September and February, you can choose courses taught in the first term or semester.If you are here between February and June, you can choose courses taught in the second term or semester.If you are here from September to June, you can choose any course, including full-year courses.
STUDIES AT THE UNIVERSITY OF VALLADOLID	CAN I CHOOSE FULL-YEAR COURSES IF I STUDY AT THE UVA FOR A TERM OR A SEMESTER?	No. Full-year courses are taught continuously from September until June. You are not allowed to take them if you are only going to be here during the first or second semester.
STUDIES AT THE UNIVERSITY OF VALLADOLID	CAN I CHOOSE COURSES FROM VARIOUS FACULTIES AT THE SAME TIME?	Yes, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement. However, you must always take at least one course from the University of Valladolid faculty you have chosen.
STUDIES AT THE UNIVERSITY OF VALLADOLID	CAN I TAKE COURSES AT VARIOUS CAMPUSES AT THE SAME TIME?	You may only choose courses from the Valladolid and Palencia campuses at the same time, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement. All of the other combinations of campuses are over 100 kilometres away from each other.
STUDIES AT THE UNIVERSITY OF VALLADOLID	I AM A MASTER’S DEGREE STUDENT. CAN I TAKE BACHELOR’S DEGREE COURSES?	Yes, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement.
STUDIES AT THE UNIVERSITY OF VALLADOLID	WHERE CAN I SEE THE UVA CURRICULA?	"You can see the various bachelor's degree curricula  here (http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html) , and the master's degree curricula  here (http://www.uva.es/export/sites/uva/2.docencia/2.02.mastersoficiales/2.02.01.ofertaeducativa/2.02.01.01.alfabetica/index.html) . Choose the curriculum you are interested in, and then click on ""Asignaturas"" (courses) to see the courses. "
STUDIES AT THE UNIVERSITY OF VALLADOLID	WHERE CAN I FIND THE TIMETABLE AND CLASSROOMS FOR MY COURSES?	"Each University of Valladolid faculty has its own webpage where the calendars, timetables and classrooms for the courses are published. You can find the link to your centre’s web  here (http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html) .Choose the curriculum you are interested in, and then click on ""Horarios"" (timetables) to see the times and rooms for your courses."
STUDIES AT THE UNIVERSITY OF VALLADOLID	IN SOME COURSES IT MENTIONS GROUPS SUCH AS 1 T, 2 A, 1 S. WHAT DOES THIS MEAN? CAN I CHOOSE THE GROUP I WANT?	Some courses are divided into groups because not all of the students can fit into the classroom at the same time. Some courses may have more than one group for the lectures, some for practical lessons, and others for both lectures and practical lessons.Exchange students can choose whichever groups suit them best. In other words, they can choose group 1 for the lectures in one course, and group 2 for another, etc. However, once a student has chosen a particular group for a course, they should always go to the same group for that course.
STUDIES AT THE UNIVERSITY OF VALLADOLID	WHAT IS THE MINIMUM NUMBER AND THE MAXIMUM NUMBER OF CREDITS I CAN TAKE?	You can take a maximum of 30 ECTS (European Credit Transfer and Accumulation System).We do not set a minimum number of credits. If you need to choose a minimum number of credits you must notify your university.
STUDIES AT THE UNIVERSITY OF VALLADOLID	WHEN SHOULD I SEND MY LEARNING AGREEMENT OR STUDIES PROGRAMME?	You only need to send it to us if we ask you for it. If we don’t ask you for it, it is because we don’t need it yet. Generally speaking, Erasmus+ students can fill in their Learning Agreement and obtain their coordinating teacher’s signature after they get to the University of Valladolid.
STUDIES AT THE UNIVERSITY OF VALLADOLID	I NEED TO SIGN MY LEARNING AGREEMENT. WHO DO I SEND IT TO?	You should send it directly to your coordinating teacher at the University of Valladolid.
STUDIES AT THE UNIVERSITY OF VALLADOLID	MY COORDINATING TEACHER ISN’T ANSWERING MY EMAILS. WHO CAN HELP ME?	If you have any questions related to academic matters or if you need your Learning Agreement signed, you can contact your faculty’s International Relations Coordinator at the University of Valladolid.For any other kinds of question, contact  incoming@uva.es (mailto:incoming@uva.es) 
STUDIES AT THE UNIVERSITY OF VALLADOLID	I WANT TO DO A FULL BACHELOR’S/MASTER’S/DOCTORAL DEGREE AT THE UNIVERSITY OF VALLADOLID. WHERE CAN I GET INFORMATION?	You can find information on the general website  http://www.uva.es/ (http://www.uva.es/) . The enrolment procedure is the same for Spanish students as for students of other nationalities. If you have any doubts, you should contact the  Seccion de Alumnos (http://directorio.uva.es/detalle.html?id=4001004) .
THE LANGUAGE OF INSTRUCTION	WHAT LANGUAGE OF INSTRUCTION IS USED AT THE UNIVERSITY OF VALLADOLID?	Approximately 90% of the lessons are in Spanish. A few courses are also in English, and there are courses in other languages as foreign languages.
THE LANGUAGE OF INSTRUCTION	CAN I STUDY IN ENGLISH AT THE UNIVERSITY OF VALLADOLID?	Some degrees have a lot of courses in English, such as the Bachelor's Degree in English Studies. There are also courses taught in English. You can check which ones  here (http://relint.uva.es/wp-content/uploads/2019/03/English18-19.pdf) .You can also take the International Semesters:https://campusvirtual.uva.es/course/index.php?categoryid=309http://www2.emp.uva.es/index.php/relaciones-internacionales-facultad-de-comercio-de-valladolid/https://campusvirtual.uva.es/course/index.php?categoryid=277http://www.feyts.uva.es/?q=node/2424
THE LANGUAGE OF INSTRUCTION	WHAT LEVEL OF SPANISH DO I NEED TO STUDY AT THE UVA?	You need a B1 level of Spanish (Common European Framework of Reference for Languages - CEFR) when you get to the University of Valladolid.
THE LANGUAGE OF INSTRUCTION	I HAVE A GOOD COMMAND OF SPANISH BUT DO NOT HAVE AN OFFICIAL B1 CERTIFICATE. CAN I PRESENT OTHER CERTIFICATES OF SPANISH?	Yes. We only need to be sure that you won’t have any difficulty understanding your teachers, such that we accept non-official certificates.
THE LANGUAGE OF INSTRUCTION	I SPEAK SPANISH BUT DO NOT HAVE CERTIFICATES. WHAT CAN I DO?	You can send us a report from a Spanish language teacher at your university, or from your International Relations Office, stating that you have sufficient command of Spanish to be able to satisfactorily undertake your stay at our university.Another way to acquire a sufficient level of Spanish is to take an intensive course at a language centre or language school in Spain before you start your academic year.
WHEN YOU GET TO THE UNIVERSITY OF VALLADOLID	WHAT DO I HAVE TO DO THE FIRST DAY I GET TO THE UVA?	If you are going to study in the city of Valladolid, you should go to the International Relations Office to register that you have arrived and we will give you information. You can find our address and the office opening hours through this link.If you are going to study in Palencia, Segovia, or Soria you should visit your coordinating teacher, who will register your arrival and will give you academic information. You should let your coordinating teacher know in advance by email the date on which you will be arriving. You can find their contact details in your Personal Area.If your coordinating teacher is late in answering you, you can also contact the assistant at the International Relations Office on your campus through the following email addresses:Palencia Campus:  palencia@uva.es (mailto:internacional.palencia@uva.es) Segovia Campus:  segovia@uva.es (mailto:internacional.segovia@uva.es) Soria Campus:  soria@uva.es (mailto:internacional.soria@uva.es) 
WHEN YOU GET TO THE UNIVERSITY OF VALLADOLID	I STILL DO NOT HAVE MY STUDENT CARD AND I NEED IT. WHAT SHOULD I DO?	You can still have access to all university services and facilities even if you are still waiting for your student card.There are two ways to access: with your enrolment sheet or downloading the UVa app for smartphones, available for  Android (https://play.google.com/store/apps/details?id=com.pocketuniversity.uva)  and  iOS (https://itunes.apple.com/app/id1031505989) .
EXAMINATIONS AND MARKS/GRADES	WHAT MARK/GRADE WILL I GET IN MY COUNTRY WITH THE EXAMINATIONS I TAKE AT THE UNIVERSITY OF VALLADOLID?	Each country has a different grading system. European countries share a transfer system which you can check out in Wikipedia:  ECTS (https://es.wikipedia.org/wiki/European_Credit_Transfer_and_Accumulation_System) ,  Grading scale (only in English) (https://en.wikipedia.org/wiki/ECTS_grading_scale) .
EXAMINATIONS AND MARKS/GRADES	WHEN ARE EXAMINATIONS HELD AT THE UNIVERSITY OF VALLADOLID?	First term examinations are held in January, although some teachers may bring theirs forward to late December.Second term examinations are held in June.
EXAMINATIONS AND MARKS/GRADES	I AM NOT IN SPAIN ON THE DAY OF THE EXAM. CAN I TAKE THE EXAM IN MY HOME COUNTRY?	You should ask your course teacher. They will tell you if there is another way for you to take the exam.
EXAMINATIONS AND MARKS/GRADES	I DID NOT PASS AN EXAM. WHAT CAN I DO?	In Valladolid, you have the chance to take an exam again if you do not pass. These exams are known as “extraordinarios”.
EXAMINATIONS AND MARKS/GRADES	WHEN ARE THE EXTRAORDINARIO EXAMS?	Extraordinario exams for the first term are held in late January or early February. The extraordinario exams for the second term are held in late June.
EXAMINATIONS AND MARKS/GRADES	I PASSED AN EXAM BUT WITH A LOW MARK/GRADE AND I WANT TO IMPROVE IT. CAN I DO SO?	You should ask your course teacher; some allow you to do an assignment in order to increase your mark/grade; others allow you to take the exam again, others do not allow you to improve your mark. Your teacher must tell you what will happen if they allow you to take the exam again and you fail the second time.You should never take the extraordinario exam without first speaking to your teacher.
